GENE1,GENE2,WEIGHT
KAT5,XRCC1,0.10272384823365242
KAT5,BTBD2,0.13428790853660985
KAT5,PML,0.15760841674793954
KAT5,ARIH2,0.7414211938453165
KAT5,HSPB1,0.14829348142416435
KAT5,PCDHA4,0.10377043783580155
ABL1,XRCC1,0.1398628975873409
ABL1,UBE2I,0.13093434545652757
ABL1,HDAC1,0.13194273364969994
ABL1,BTBD2,0.1899392222857626
ABL1,CDKN1A,0.250311716430102
ABL1,PML,0.16483998305690223
ABL1,ARIH2,0.10775762274199584
ABL1,HSPB1,0.16110758868933675
ABL1,ATM,0.5287928068098298
XRCC1,UBE2I,0.13937702921950976
XRCC1,BTBD2,0.15208362616422963
XRCC1,PML,0.11565851810817544
XRCC1,TK1,0.11367942824973445
UBE2I,HDAC1,0.17094210921341
UBE2I,CDKN1A,0.10818792179388355
UBE2I,PML,0.23410093106902874
UBE2I,TK1,0.13502885913640253
UBE2I,ARIH2,0.14456740062107035
HDAC1,CDKN1A,0.2549169266610385
HDAC1,PML,0.17694578960242993
HDAC1,TK1,0.6663383722411497
HDAC1,HSPB1,0.29825050197161274
HDAC1,ATM,0.13436282171841868
BTBD2,CDKN1A,0.12315191486290322
BTBD2,PML,0.1555489670931948
BTBD2,ARIH2,0.14358574910151517
CDKN1A,PML,0.32075247932909795
CDKN1A,TK1,0.18816334602423884
CDKN1A,HSPB1,0.48676687633276716
CDKN1A,ATM,0.18315950598319705
PML,TK1,0.3035825870019427
PML,HSPB1,0.11849538668459077
PML,ATM,0.111051096472405
ARIH2,ATM,0.15658267648428584
